current_month,cycle_id,real_year,real_month,num_patient_gold1,num_patient_gold2,num_patient_gold3,num_patient_gold4,num_patient_copd_death,num_patient_bg_death,num_patient_alive_sum,num_patient_detected_gold1,num_patient_detected_gold2,num_patient_detected_gold3,num_patient_detected_gold4,num_patient_detected_sum
0,1,2022,6,405,216,200,166,3,20,987,202,107,106,83,498
12,2,2023,6,385,242,182,148,6,57,957,192,123,96,71,482
24,3,2024,6,366,288,162,127,10,77,943,180,144,86,65,475
36,4,2025,6,350,312,151,117,14,96,930,174,154,78,62,468
48,5,2026,6,332,335,146,107,18,112,920,170,165,71,59,465
60,6,2027,6,333,344,140,85,22,136,902,169,172,68,48,457
72,7,2028,6,312,364,131,74,26,163,881,164,179,62,40,445
84,8,2029,6,307,359,141,64,30,179,871,158,178,69,37,442
96,9,2030,6,309,361,131,53,34,202,854,158,177,73,27,435
108,10,2031,6,303,367,127,43,37,223,840,153,185,68,23,429
120,11,2032,6,296,379,123,32,39,241,830,152,195,61,20,428
132,12,2033,6,296,378,121,33,42,250,828,150,196,59,21,426
144,13,2034,6,292,368,132,32,44,262,824,152,188,64,18,422
156,14,2035,6,287,367,131,37,46,272,822,148,189,67,18,422
168,15,2036,6,276,378,131,33,46,286,818,137,196,68,15,416
180,16,2037,6,284,376,123,32,46,299,815,141,195,62,13,411
192,17,2038,6,273,384,118,35,48,312,810,141,189,64,13,407
204,18,2039,6,267,383,128,28,48,326,806,135,190,70,13,408
216,19,2040,6,254,393,121,30,50,342,798,127,196,69,14,406
228,20,2041,6,256,384,126,29,51,354,795,123,199,70,13,405
240,21,2042,6,243,394,122,32,54,365,791,118,208,64,15,405
252,22,2043,6,238,399,112,32,57,382,781,116,214,58,14,402
264,23,2044,6,233,397,122,29,59,390,781,116,215,59,13,403
276,24,2045,6,230,396,122,27,61,404,775,109,218,65,10,402
288,25,2046,6,239,387,124,25,64,411,775,115,213,64,11,403
300,26,2047,6,242,377,113,31,65,432,763,112,207,61,15,395
312,27,2048,6,256,353,114,34,66,447,757,122,193,60,18,393
324,28,2049,6,253,353,103,38,72,461,747,120,190,51,20,381
336,29,2050,6,231,369,94,43,76,477,737,106,200,49,23,378
348,30,2051,6,234,361,98,39,78,490,732,110,191,56,20,377
360,31,2052,6,239,359,106,34,78,494,738,105,199,57,19,380
372,32,2053,6,243,350,102,35,82,508,730,107,195,56,18,376
384,33,2054,6,240,346,103,32,82,527,721,108,188,57,18,371
396,34,2055,6,237,342,106,26,86,543,711,106,191,56,15,368
408,35,2056,6,237,343,107,21,88,554,708,106,195,55,13,369
420,36,2057,6,238,337,107,21,89,568,703,113,188,53,10,364
432,37,2058,6,234,339,98,26,91,582,697,109,193,51,12,365
444,38,2059,6,234,330,102,25,91,598,691,113,189,48,14,364
456,39,2060,6,231,333,97,28,93,608,689,104,194,51,13,362
468,40,2061,6,231,333,95,25,95,621,684,110,189,48,13,360
480,41,2062,6,233,324,93,29,96,635,679,113,177,56,13,359
492,42,2063,6,228,331,88,32,96,645,679,113,173,55,15,356
504,43,2064,6,222,333,95,30,101,649,680,113,167,66,14,360
516,44,2065,6,221,332,93,32,102,660,678,114,169,63,16,362
528,45,2066,6,230,313,97,33,106,671,673,119,165,58,17,359
540,46,2067,6,225,321,89,35,107,683,670,114,171,54,19,358
552,47,2068,6,223,313,98,36,111,689,670,118,165,57,19,359
564,48,2069,6,221,309,94,40,115,701,664,115,169,52,21,357
576,49,2070,6,219,309,94,37,117,714,659,110,176,51,16,353
588,50,2071,6,218,305,100,36,118,723,659,113,166,60,12,351
